Year,Miles,Price,Brand,Model,cross,grand,passenger,sport,cab,sportback,regular,coupe,limited,hybrid,crew,town,double,electric,plug-in
2014,46757,23990,27,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
2020,54232,24990,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,82765,19590,19,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,34680,19990,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,42197,21990,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,67400,24990,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,104955,13990,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,64311,23590,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,44834,23990,9,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,99558,16990,6,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,36134,17590,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,54606,16590,6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,50801,22590,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,61688,21990,0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,16030,24990,18,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,46874,18990,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,30092,17990,6,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,32968,19590,25,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2020,40536,15990,7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,30836,24590,28,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,85050,17990,8,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,45077,20590,15,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,82983,12590,9,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,57429,19590,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,81961,16590,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,50194,19590,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,103569,15990,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,60169,15590,17,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,82144,24590,13,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,27590,15990,9,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,93583,16590,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,49525,22990,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,35538,20990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,35194,20590,17,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,63245,16990,13,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,23592,21990,19,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,86312,12990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,59250,18990,25,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,31686,16990,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,80916,16590,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,81283,14990,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,89376,23590,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,32660,19990,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,96104,15990,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,74431,19590,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,25144,22990,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,65137,17590,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,103547,12990,12,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,56763,17590,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,77736,16590,17,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,36118,23990,18,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,96183,14590,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,70662,14990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,63738,23990,0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,100210,15990,15,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,40323,22990,18,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,100275,12590,4,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,69258,19990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,32998,16990,13,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,56347,15990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,44561,17590,0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,54050,14990,29,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,19760,19590,13,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,64277,17990,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,51641,24990,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,67669,16590,19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,49048,21590,18,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,36205,22990,12,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,59826,16990,8,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,17483,21990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,82794,14990,16,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,47798,16990,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,16520,20990,19,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
